epoch,accuracy,loss,val_accuracy,val_loss
0,0.8351900577545166,0.4662424921989441,0.9184210300445557,0.26206880807876587
1,0.9551113843917847,0.17409256100654602,0.9796052575111389,0.10784158110618591
2,0.969118595123291,0.12230968475341797,0.9815789461135864,0.09383602440357208
3,0.9811598658561707,0.0897216722369194,0.9845394492149353,0.07942409068346024
4,0.9880406260490417,0.06536481529474258,0.9809210300445557,0.08236028254032135
5,0.9791939854621887,0.08755628019571304,0.9865131378173828,0.06904049217700958
6,0.9859927892684937,0.06299544125795364,0.99210524559021,0.049215853214263916
7,0.9847640991210938,0.06683050096035004,0.9822368621826172,0.07037317752838135
8,0.9913991093635559,0.047979503870010376,0.9894737005233765,0.05277830362319946
9,0.9834534525871277,0.06838420033454895,0.9776315689086914,0.08242391049861908
10,0.9932830929756165,0.04041606932878494,0.996052622795105,0.031073302030563354
11,0.9914810061454773,0.0408601388335228,0.9825657606124878,0.0684298500418663
12,0.9831258058547974,0.06874532252550125,0.9957236647605896,0.029758945107460022
13,0.9977883100509644,0.02351761795580387,0.9980263113975525,0.019373178482055664
14,0.9987713098526001,0.016787860542535782,0.9743421077728271,0.10015205293893814
15,0.977473795413971,0.08778062462806702,0.9809210300445557,0.08483240008354187
16,0.9948394298553467,0.031639453023672104,0.9940789341926575,0.02919592894613743
17,0.9852555990219116,0.06092052534222603,0.9888157844543457,0.05190708860754967
18,0.9956585764884949,0.02986934781074524,0.9980263113975525,0.018741820007562637
19,0.9979521632194519,0.017921360209584236,0.9865131378173828,0.0521245114505291
20,0.9768185019493103,0.09297343343496323,0.9917762875556946,0.037410564720630646
21,0.9932011961936951,0.03493023291230202,0.9970394968986511,0.022527454420924187
22,0.9902523159980774,0.0457962304353714,0.9720394611358643,0.10135819017887115
23,0.9926277995109558,0.03730184584856033,0.9934210777282715,0.03240945562720299
24,0.9932830929756165,0.03024929389357567,0.9973683953285217,0.020297536626458168
25,0.9987713098526001,0.015053091570734978,0.9934210777282715,0.026401856914162636
26,0.9816513657569885,0.06997092068195343,0.9930921196937561,0.036223072558641434
27,0.9948394298553467,0.02824222855269909,0.9930921196937561,0.02662835456430912
28,0.9968053698539734,0.02242666855454445,0.9970394968986511,0.019123587757349014
29,0.9932011961936951,0.034128546714782715,0.9976973533630371,0.020930925384163857
