epoch,accuracy,loss,val_accuracy,val_loss
0,0.8280635476112366,0.48244982957839966,0.8769736886024475,0.3781755268573761
1,0.9341415762901306,0.21923775970935822,0.9371710419654846,0.22439530491828918
2,0.9559305310249329,0.16352806985378265,0.949999988079071,0.17286162078380585
3,0.9647771716117859,0.1301782727241516,0.9690789580345154,0.11761606484651566
4,0.9733781218528748,0.10822007805109024,0.9756578803062439,0.0963861346244812
5,0.979521632194519,0.08654772490262985,0.9516447186470032,0.16056503355503082
6,0.9759174585342407,0.09348884969949722,0.9750000238418579,0.08816205710172653
7,0.9813237190246582,0.0815025269985199,0.9690789580345154,0.10368021577596664
8,0.9866480827331543,0.06053320690989494,0.9924342036247253,0.04670438915491104
9,0.9871395826339722,0.06359412521123886,0.9822368621826172,0.07015522569417953
10,0.9882863759994507,0.05359914153814316,0.9878289699554443,0.05596603453159332
11,0.9883682727813721,0.055790822952985764,0.9858552813529968,0.06656001508235931
12,0.982798159122467,0.07211320847272873,0.9861842393875122,0.05731302127242088
13,0.9950032830238342,0.03170043230056763,0.9799342155456543,0.08296477049589157
14,0.9880406260490417,0.0553116649389267,0.9723684191703796,0.11169775575399399
15,0.9940203428268433,0.03171197697520256,0.9657894968986511,0.13875791430473328
16,0.9848459959030151,0.06830567866563797,0.9924342036247253,0.03553183376789093
17,0.9898427128791809,0.04691409692168236,0.9947368502616882,0.03305353596806526
18,0.9946756362915039,0.029445523396134377,0.9940789341926575,0.031200192868709564
19,0.9907437562942505,0.044240694493055344,0.9756578803062439,0.08856386691331863
20,0.9894331693649292,0.04633567854762077,0.9871710538864136,0.05736527219414711
21,0.9952490329742432,0.027415307238698006,0.9927631616592407,0.037986401468515396
22,0.9982798099517822,0.015608235262334347,0.9957236647605896,0.020079385489225388
23,0.9864023327827454,0.055328015238046646,0.9944078922271729,0.030508995056152344
24,0.9891055226325989,0.04332788288593292,0.9917762875556946,0.033755138516426086
25,0.9978702664375305,0.017540553584694862,0.99210524559021,0.03394099324941635
26,0.9896789193153381,0.04966162517666817,0.9825657606124878,0.0615653395652771
27,0.9953309297561646,0.024847635999321938,0.996052622795105,0.020199375227093697
28,0.9996723532676697,0.008935057558119297,0.9973683953285217,0.0161464661359787
29,0.9846002459526062,0.06560394912958145,0.991447389125824,0.03784137964248657
